CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantidade por Ano/mês compet. e Tipo de Estabelecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atende no SUS: Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:Ago/20070Jun/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano/mês compet.;Ano;Mês;academia da saúde;centro de apoio a saúde da família;centro de atenção hemoterápica e/ou hematológica;centro de atenção psicossocial;centro de saude/unidade basica de saude;central de regulacao de servicos de saude;central de notif. captação e distr. órgãos estadua;clinica especializada/ambulatorio especializado;consultorio;cooperativa;farmacia;hospital especializado;hospital geral;hospital dia;policlinica;oficina ortopedica;posto de saude;pronto antedimento;pronto socorro geral;secretaria de saude;servico de atencao domiciliar isolado(home care);unidade de servico de apoio de diagnose e terapia;unidade de vigilancia em saude;unidade mista;telesaúde;total
2008-08-01;2008;Ago;0;1;1;116;76;1;0;217;10;0;0;52;71;0;28;0;0;0;9;0;0;14;0;0;0;596
2008-09-01;2008;Set;0;1;1;118;78;1;0;224;10;0;0;54;72;0;29;0;0;0;9;0;0;13;0;0;0;610
2008-10-01;2008;Out;0;1;1;120;81;1;0;225;13;1;0;54;72;0;29;0;0;0;9;0;0;16;0;0;0;623
2008-11-01;2008;Nov;0;1;1;119;87;1;0;222;14;1;0;54;73;0;29;0;0;0;10;0;0;16;0;0;0;628
2008-12-01;2008;Dez;0;1;1;116;87;1;0;227;14;1;0;53;72;0;31;0;0;0;10;0;0;17;0;0;0;631
2009-01-01;2009;Jan;0;1;1;118;86;1;0;228;14;1;0;53;72;0;31;0;0;0;10;0;0;18;0;0;0;634
2009-02-01;2009;Fev;0;1;1;118;87;1;0;231;13;1;0;54;71;0;31;0;0;0;10;0;0;19;0;0;0;638
2009-03-01;2009;Mar;0;1;1;119;90;1;0;234;16;1;0;53;78;0;25;0;0;0;10;0;0;20;0;0;0;649
2009-04-01;2009;Abr;0;1;1;116;91;1;0;243;16;1;0;54;78;0;25;0;0;0;10;0;0;21;0;0;0;658
2009-05-01;2009;Mai;0;1;1;115;93;1;0;244;16;1;0;54;75;0;27;0;0;0;10;0;0;21;0;0;0;659
2009-06-01;2009;Jun;0;1;1;115;93;1;0;241;17;1;0;54;78;0;30;0;0;0;10;0;0;21;0;0;0;663
2009-07-01;2009;Jul;0;1;1;116;96;1;0;243;18;1;0;55;79;0;31;0;0;0;10;0;0;20;0;0;0;672
2009-08-01;2009;Ago;0;1;1;119;99;1;0;240;18;2;0;56;76;0;31;0;0;0;9;0;0;21;0;0;0;674
2009-09-01;2009;Set;0;1;1;119;102;1;0;242;16;2;0;53;78;0;34;0;0;0;8;0;0;21;0;0;0;678
2009-10-01;2009;Out;0;1;1;120;105;1;0;249;16;2;0;56;74;0;35;0;0;0;8;1;0;21;0;0;0;690
2009-11-01;2009;Nov;0;1;1;122;104;0;0;252;16;2;0;56;75;0;35;0;0;0;8;2;0;20;0;0;0;694
2009-12-01;2009;Dez;0;1;1;122;105;0;0;258;16;2;0;51;75;0;35;0;0;0;8;2;0;21;0;0;0;697
2010-01-01;2010;Jan;0;1;1;124;109;0;0;253;16;2;0;52;76;0;31;0;0;0;8;2;0;21;0;0;0;696
2010-02-01;2010;Fev;0;1;2;123;110;0;0;255;16;2;0;51;78;0;32;0;0;0;8;2;0;22;0;0;0;702
2010-03-01;2010;Mar;0;1;2;122;116;0;0;260;16;2;0;50;80;0;27;0;0;0;8;2;0;22;0;0;0;708
2010-04-01;2010;Abr;0;1;2;123;117;0;0;259;15;2;0;51;79;0;27;0;0;0;8;3;0;23;0;0;0;710
2010-05-01;2010;Mai;0;1;2;121;115;0;0;265;14;1;0;51;83;0;26;0;0;0;8;2;0;23;0;0;0;712
2010-06-01;2010;Jun;0;1;2;121;118;0;0;262;14;1;0;53;81;0;27;0;0;0;8;3;0;23;0;0;0;714
2010-07-01;2010;Jul;0;1;2;122;125;0;0;254;15;1;0;54;84;0;28;0;0;0;8;3;0;23;0;0;0;720
2010-08-01;2010;Ago;0;1;2;123;124;0;0;259;15;1;0;55;85;0;28;0;0;0;8;3;0;23;0;0;0;727
2010-09-01;2010;Set;0;1;2;123;125;0;0;275;5;1;0;55;86;0;28;0;0;0;8;3;0;23;0;0;0;735
2010-10-01;2010;Out;0;1;2;127;123;0;0;273;5;1;0;57;85;0;29;0;0;0;8;3;0;23;0;0;0;737
2010-11-01;2010;Nov;0;1;2;129;130;0;0;272;5;1;0;57;84;0;29;0;0;0;8;3;0;24;0;0;0;745
2010-12-01;2010;Dez;0;2;2;130;130;0;0;272;5;1;0;56;85;0;29;0;0;0;8;3;0;24;0;0;0;747
2011-01-01;2011;Jan;0;2;2;133;131;0;0;272;5;1;0;56;86;0;28;0;0;0;8;3;0;24;0;0;0;751
2011-02-01;2011;Fev;0;2;2;134;131;0;0;268;5;1;0;54;89;0;28;0;0;0;8;3;0;23;0;0;0;748
2011-03-01;2011;Mar;0;2;2;134;131;0;0;277;5;1;0;52;90;0;29;0;0;0;8;4;0;23;0;0;0;758
2011-04-01;2011;Abr;0;2;2;134;136;0;0;276;5;1;0;50;92;0;30;0;0;0;8;4;0;24;0;0;0;764
2011-05-01;2011;Mai;0;2;2;138;138;0;0;274;5;1;0;47;94;0;31;0;1;0;8;5;0;24;0;0;0;770
2011-06-01;2011;Jun;0;2;2;142;140;0;0;274;5;1;0;47;96;0;34;0;1;0;8;6;0;24;0;0;0;782
2011-07-01;2011;Jul;0;2;1;141;139;0;0;271;5;1;0;46;93;0;33;0;1;0;8;6;0;22;0;0;0;769
2011-08-01;2011;Ago;0;2;1;139;139;0;0;275;5;1;0;50;94;0;34;0;1;0;8;6;0;23;0;0;0;778
2011-09-01;2011;Set;0;4;1;138;140;0;0;275;5;1;0;51;92;0;34;0;1;0;8;6;0;23;0;0;0;779
2011-10-01;2011;Out;0;4;1;139;142;0;0;282;5;1;0;50;92;0;34;0;1;0;8;6;0;23;0;0;0;788
2011-11-01;2011;Nov;0;4;1;142;141;0;0;281;5;1;0;47;95;0;34;0;1;0;8;6;0;23;0;0;0;789
2011-12-01;2011;Dez;0;4;1;144;145;0;0;295;5;1;0;48;97;0;31;0;1;0;10;6;0;14;0;0;0;802
2012-01-01;2012;Jan;0;4;1;143;156;0;0;288;4;1;0;44;99;0;31;0;1;0;10;6;0;14;0;0;0;802
2012-02-01;2012;Fev;0;4;1;146;157;0;0;285;4;1;0;45;104;0;31;0;1;0;9;5;0;15;0;0;0;808
2012-03-01;2012;Mar;0;3;1;146;158;0;0;288;4;1;0;45;106;0;31;0;0;0;9;5;0;14;0;0;0;811
2012-04-01;2012;Abr;0;3;1;143;159;0;0;287;4;1;0;44;106;0;33;0;0;0;9;5;0;14;0;0;0;809
2012-05-01;2012;Mai;0;3;1;142;164;0;0;277;4;1;0;44;109;0;33;0;0;0;9;6;0;14;0;0;0;807
2012-06-01;2012;Jun;0;3;0;131;171;0;0;250;4;1;0;45;107;0;31;0;0;0;7;6;0;9;0;1;0;766
2012-07-01;2012;Jul;0;3;1;148;172;0;0;269;3;1;0;52;113;0;35;0;0;0;2;6;0;12;0;0;0;817
2012-08-01;2012;Ago;0;2;1;148;172;0;0;271;3;1;0;51;113;0;34;0;0;0;2;6;0;12;0;0;0;816
2012-09-01;2012;Set;0;2;1;148;171;0;0;275;3;1;0;52;114;0;35;0;0;0;2;6;0;12;0;0;0;822
2012-10-01;2012;Out;0;2;1;157;166;0;0;265;6;1;0;48;115;0;37;0;0;1;9;6;0;12;0;0;0;826
2012-11-01;2012;Nov;0;2;1;163;161;0;0;263;7;1;0;49;115;1;39;0;0;1;9;6;0;12;0;0;0;830
2012-12-01;2012;Dez;0;2;1;163;164;0;0;257;7;1;0;49;115;1;38;0;0;1;12;6;0;12;0;0;0;829
2013-01-01;2013;Jan;0;2;1;167;169;0;0;259;8;1;0;47;115;1;40;0;0;1;12;5;0;13;0;0;0;841
2013-02-01;2013;Fev;0;2;1;164;167;0;0;257;8;1;0;47;116;1;40;0;0;1;12;5;0;13;0;0;0;835
2013-03-01;2013;Mar;1;2;1;160;178;0;0;256;9;1;0;46;116;1;35;0;0;1;12;5;0;10;0;0;0;834
2013-04-01;2013;Abr;1;2;1;161;185;0;0;260;9;1;0;49;116;1;36;0;0;1;12;5;0;10;0;0;0;850
2013-05-01;2013;Mai;1;2;1;167;183;0;0;265;9;1;0;49;115;1;36;0;0;0;12;4;0;12;0;0;0;858
2013-06-01;2013;Jun;1;2;0;167;184;0;0;258;8;1;0;50;115;1;35;0;0;0;12;4;0;12;0;0;0;850
2013-07-01;2013;Jul;1;2;0;169;183;0;0;258;8;1;0;51;116;1;36;0;0;0;12;4;0;12;0;0;0;854
2013-08-01;2013;Ago;1;2;0;170;186;0;0;261;8;1;0;52;129;1;34;0;0;0;2;5;0;13;0;0;0;865
2013-09-01;2013;Set;0;2;0;179;192;0;0;261;5;1;0;52;126;1;34;0;0;0;2;5;0;14;0;0;0;874
2013-10-01;2013;Out;0;1;0;179;196;0;0;255;5;1;0;52;124;1;35;0;0;0;2;5;0;14;0;0;0;870
2013-11-01;2013;Nov;0;1;0;177;191;0;0;254;4;1;0;52;124;1;35;0;0;0;2;6;0;15;0;0;0;863
2013-12-01;2013;Dez;0;1;0;183;199;0;0;263;4;1;0;54;124;1;34;0;1;0;2;6;0;15;0;0;0;888
2014-01-01;2014;Jan;0;1;0;184;204;0;0;263;4;1;0;54;124;1;32;0;1;0;2;6;0;16;0;0;0;893
2014-02-01;2014;Fev;0;1;0;188;206;0;0;263;4;1;0;53;126;1;33;0;1;0;2;6;0;16;0;0;0;901
2014-03-01;2014;Mar;0;1;0;189;209;0;0;261;4;1;0;53;128;1;31;0;1;0;2;8;0;16;0;0;0;905
2014-04-01;2014;Abr;0;0;0;187;203;0;0;270;6;1;0;54;130;1;31;0;1;0;2;8;0;17;0;0;0;911
2014-05-01;2014;Mai;0;0;0;193;201;0;0;269;6;1;0;52;132;1;34;0;2;0;2;8;0;16;0;0;0;917
2014-06-01;2014;Jun;0;1;0;196;199;0;0;275;6;1;0;52;133;1;30;0;2;0;2;8;0;17;0;0;1;924
2014-07-01;2014;Jul;0;1;0;198;200;0;0;276;6;1;0;51;133;1;29;0;2;0;2;8;0;17;0;0;1;926
2014-08-01;2014;Ago;0;1;0;201;196;0;0;276;6;1;0;52;134;1;29;0;2;0;2;7;0;16;0;0;1;925
2014-09-01;2014;Set;0;1;0;204;191;0;0;278;6;0;0;52;141;1;29;0;2;0;2;7;0;18;0;0;1;933
2014-10-01;2014;Out;0;1;0;201;184;0;0;278;6;0;0;53;141;1;29;0;2;0;2;9;0;20;0;0;1;928
2014-11-01;2014;Nov;1;1;0;201;181;0;1;282;6;0;0;53;142;1;28;0;3;0;2;9;0;19;0;1;1;932
2014-12-01;2014;Dez;1;1;0;200;184;0;1;280;6;0;0;53;142;1;29;0;2;0;2;9;0;19;0;1;1;932
2015-01-01;2015;Jan;1;1;0;192;179;0;1;283;5;0;0;53;143;1;31;0;2;0;2;9;0;18;0;1;1;923
2015-02-01;2015;Fev;1;1;0;197;179;0;3;282;5;0;0;51;143;1;32;0;2;0;2;9;0;18;0;1;1;928
2015-03-01;2015;Mar;1;1;0;199;169;0;1;296;5;0;0;53;128;1;30;0;2;0;3;9;0;20;0;1;1;920
2015-04-01;2015;Abr;1;2;0;197;168;0;1;300;5;0;0;54;136;1;31;0;2;0;3;9;0;18;0;1;1;930
2015-05-01;2015;Mai;1;2;0;195;165;0;1;302;5;0;0;53;138;1;29;0;1;0;3;9;0;17;0;1;1;924
2015-06-01;2015;Jun;1;1;0;197;162;0;1;302;4;0;0;52;135;1;29;0;2;0;2;10;0;17;0;1;1;918
2015-07-01;2015;Jul;1;1;0;201;162;0;1;304;4;0;0;53;135;1;28;0;1;0;3;10;0;18;2;1;1;927
2015-08-01;2015;Ago;1;1;0;205;166;0;1;300;4;0;0;53;135;1;29;0;2;0;3;10;0;17;2;1;1;932
2015-09-01;2015;Set;1;1;0;202;165;0;1;307;4;0;0;53;135;1;30;0;3;0;3;10;1;15;2;1;1;936
2015-10-01;2015;Out;1;1;0;199;165;0;1;308;4;0;0;53;136;1;30;0;3;0;4;10;1;15;2;1;1;936
2015-11-01;2015;Nov;1;1;0;194;166;0;1;310;4;0;0;53;136;1;29;0;4;0;4;10;1;14;2;1;1;933
2015-12-01;2015;Dez;1;1;0;191;168;0;4;312;4;0;0;53;120;1;29;0;5;0;4;10;1;14;2;1;1;922
2016-01-01;2016;Jan;1;1;0;187;168;0;4;310;4;0;0;53;119;1;30;0;5;0;3;10;1;14;2;1;1;915
2016-02-01;2016;Fev;1;1;0;192;166;0;4;311;4;0;0;52;119;1;30;0;4;0;3;10;1;14;1;1;1;916
2016-03-01;2016;Mar;0;1;0;195;166;0;1;314;4;0;0;52;120;1;28;0;4;0;3;9;1;15;0;1;1;916
2016-04-01;2016;Abr;0;1;0;196;168;0;0;315;4;0;0;51;120;2;28;0;3;0;3;10;1;14;0;1;1;918
2016-05-01;2016;Mai;0;1;0;195;164;0;0;319;4;0;0;52;122;2;28;0;3;0;3;12;1;13;0;1;1;921
2016-06-01;2016;Jun;0;1;0;201;167;0;0;316;4;0;0;51;123;2;28;0;2;0;3;12;0;13;0;1;1;925
2016-07-01;2016;Jul;0;1;0;201;169;0;0;315;4;0;0;50;120;2;30;0;3;0;3;13;0;13;0;1;1;926
2016-08-01;2016;Ago;0;0;0;206;170;0;0;325;4;0;0;49;120;2;25;0;3;0;3;14;0;13;0;1;1;936
2016-09-01;2016;Set;0;0;0;204;171;0;0;311;4;0;0;48;120;2;26;0;3;0;3;13;0;13;0;1;1;920
2016-10-01;2016;Out;0;0;0;203;171;0;0;311;4;0;0;48;125;2;26;0;3;0;3;13;0;14;0;1;1;925
2016-11-01;2016;Nov;0;0;0;204;173;0;0;307;4;0;0;50;131;2;26;0;3;0;3;13;0;14;0;1;1;932
2016-12-01;2016;Dez;0;1;0;202;170;0;0;311;4;0;0;49;131;2;25;0;3;0;3;13;0;14;0;1;1;930
2017-01-01;2017;Jan;0;1;0;202;170;0;0;309;4;0;0;49;130;2;24;0;3;0;3;13;0;14;0;1;1;926
2017-02-01;2017;Fev;0;1;0;201;167;0;0;309;4;0;0;49;130;2;24;0;3;0;3;13;0;14;0;1;0;921
2017-03-01;2017;Mar;0;1;0;203;167;0;0;317;4;0;0;51;126;2;24;0;2;0;3;13;0;15;0;1;0;929
2017-04-01;2017;Abr;0;1;0;207;171;0;0;317;4;0;0;48;129;2;26;0;2;0;3;12;0;16;0;1;0;939
2017-05-01;2017;Mai;0;0;0;209;169;0;0;323;4;0;0;49;128;2;26;0;2;0;3;13;0;16;0;1;0;945
2017-06-01;2017;Jun;0;0;0;209;165;0;0;320;4;0;0;50;134;2;26;0;2;0;3;13;0;16;0;1;0;945
2017-07-01;2017;Jul;0;0;0;206;166;0;0;321;3;0;0;49;136;2;26;0;2;1;3;13;0;16;0;1;0;945
2017-08-01;2017;Ago;0;0;0;208;164;0;0;326;3;0;0;50;139;2;27;0;2;1;3;13;0;16;0;1;0;955
2017-09-01;2017;Set;0;0;0;206;163;0;0;329;3;0;0;49;139;1;29;0;2;1;3;12;0;16;0;1;0;954
2017-10-01;2017;Out;0;0;0;204;164;0;0;327;3;0;0;50;140;1;29;0;2;0;3;13;0;18;0;1;0;955
2017-11-01;2017;Nov;0;0;0;199;162;0;0;334;3;0;0;50;139;1;29;0;2;0;3;13;0;18;0;1;0;954
2017-12-01;2017;Dez;1;0;0;198;160;0;0;336;3;0;0;49;139;1;30;0;2;0;3;13;0;18;0;1;0;954
2018-01-01;2018;Jan;1;0;0;197;169;0;0;331;3;0;0;50;141;0;30;0;2;0;3;13;0;18;0;1;0;959
2018-02-01;2018;Fev;1;0;0;195;167;0;0;330;3;0;0;50;145;0;30;0;2;0;3;14;0;18;0;1;0;959
2018-03-01;2018;Mar;1;0;0;196;169;0;0;330;3;0;0;52;145;0;30;0;2;2;3;14;0;18;0;1;0;966
2018-04-01;2018;Abr;1;0;0;197;179;0;0;337;4;0;0;51;146;0;30;0;1;2;3;14;0;20;1;1;0;987
2018-05-01;2018;Mai;1;0;0;201;180;0;0;338;4;0;0;50;145;0;31;0;1;2;3;15;0;20;1;1;0;993
2018-06-01;2018;Jun;1;0;0;204;183;0;0;330;5;0;0;51;148;0;30;0;1;2;3;13;0;21;1;1;0;994
2018-07-01;2018;Jul;1;0;0;201;183;0;0;329;5;0;0;49;147;1;30;0;1;2;3;15;0;21;0;1;0;989
2018-08-01;2018;Ago;1;0;0;202;189;0;0;331;5;0;0;50;139;1;30;0;1;2;3;16;0;20;0;1;0;991
2018-09-01;2018;Set;2;0;0;202;184;0;0;339;5;0;0;47;137;1;30;0;1;2;4;16;0;19;0;1;0;990
2018-10-01;2018;Out;1;0;0;202;186;0;0;341;5;0;1;48;138;1;27;0;1;2;3;16;0;18;0;1;0;991
2018-11-01;2018;Nov;1;0;0;201;186;0;0;339;6;0;0;48;140;1;25;0;1;1;3;16;0;18;0;1;0;987
2018-12-01;2018;Dez;1;0;0;201;186;0;0;338;6;0;0;46;139;1;24;0;1;1;3;16;0;17;0;1;0;981
2019-01-01;2019;Jan;1;0;0;198;184;0;1;339;6;0;0;46;140;1;25;0;1;1;3;16;0;15;0;1;0;978
2019-02-01;2019;Fev;2;0;0;196;183;0;1;344;6;0;0;47;138;1;27;0;1;1;3;16;0;15;0;1;0;982
2019-03-01;2019;Mar;2;1;0;195;184;0;1;340;5;0;0;49;142;0;28;0;1;1;3;15;0;15;0;1;0;983
2019-04-01;2019;Abr;2;1;0;193;186;0;1;347;4;0;0;48;145;0;30;0;1;1;3;15;0;11;0;1;0;989
2019-05-01;2019;Mai;2;1;0;190;186;0;1;350;3;0;0;50;149;0;30;0;2;1;3;14;0;11;0;0;0;993
2019-06-01;2019;Jun;2;0;0;191;188;0;1;348;2;0;0;48;146;0;31;0;2;1;3;13;0;12;0;0;0;988
2019-07-01;2019;Jul;2;1;0;190;187;0;1;356;1;0;0;49;146;0;32;0;1;2;3;13;0;12;0;0;0;996
2019-08-01;2019;Ago;2;1;0;191;188;0;1;359;1;0;0;48;149;0;29;0;1;2;3;13;0;11;0;0;0;999
2019-09-01;2019;Set;2;1;0;194;179;0;1;369;1;0;0;48;150;0;29;0;1;2;3;13;0;11;0;0;0;1004
2019-10-01;2019;Out;2;1;0;189;183;0;1;367;1;0;0;46;151;0;28;0;1;1;3;14;0;11;0;0;0;999
2019-11-01;2019;Nov;2;0;0;182;186;0;1;370;1;0;0;44;156;0;28;0;1;1;3;14;0;12;0;0;0;1001
2019-12-01;2019;Dez;2;0;0;181;184;0;1;367;1;0;0;47;156;0;29;0;1;1;3;15;0;12;0;0;0;1000
2020-01-01;2020;Jan;2;0;0;182;182;0;1;363;1;0;0;47;154;0;29;0;1;1;3;15;0;13;0;0;0;994
2020-02-01;2020;Fev;2;0;0;183;182;0;1;366;1;0;0;46;148;0;29;0;1;1;3;15;0;13;0;0;0;991
2020-03-01;2020;Mar;2;0;0;186;178;0;1;367;1;0;0;46;150;0;25;1;1;1;3;15;0;14;0;0;0;991
2020-04-01;2020;Abr;2;0;0;186;181;0;1;365;1;0;0;45;152;0;25;1;1;1;2;15;0;13;0;0;0;991
2020-05-01;2020;Mai;2;0;0;185;181;0;1;361;1;0;0;46;152;0;25;1;1;1;2;15;1;13;0;0;0;988
2020-06-01;2020;Jun;2;0;0;186;181;0;1;368;0;0;0;45;147;0;25;1;0;1;2;15;1;13;0;0;0;988
2020-07-01;2020;Jul;2;0;0;194;180;0;1;372;0;0;0;37;150;0;22;1;0;1;2;16;1;13;0;1;0;993
2020-08-01;2020;Ago;2;0;0;199;174;0;1;372;0;0;0;37;150;0;24;1;0;1;2;15;1;13;0;1;0;993
2020-09-01;2020;Set;2;0;0;200;173;0;1;372;0;0;0;37;149;0;24;1;0;1;2;14;1;12;0;1;0;990
2020-10-01;2020;Out;2;0;0;200;175;0;1;376;0;0;0;37;147;0;24;0;0;1;2;14;2;12;0;1;0;994
2020-11-01;2020;Nov;2;0;0;199;177;0;1;373;0;0;0;37;148;0;23;0;0;1;2;14;2;12;0;1;0;992
2020-12-01;2020;Dez;1;0;0;199;175;0;1;371;0;0;0;36;148;0;23;0;0;1;2;14;2;12;0;1;0;986
2021-01-01;2021;Jan;1;0;0;196;175;0;1;373;0;0;0;38;146;0;24;1;0;1;2;14;2;12;0;1;0;987
2021-02-01;2021;Fev;1;0;0;202;167;0;2;360;1;0;0;39;149;0;22;1;0;1;2;15;1;12;0;1;0;976
2021-03-01;2021;Mar;1;0;0;199;169;0;2;353;1;0;0;39;154;0;21;2;0;1;2;15;1;12;0;1;0;973
2021-04-01;2021;Abr;1;0;0;201;169;0;2;355;1;0;0;37;155;0;20;2;0;1;2;16;0;12;0;1;0;975
2021-05-01;2021;Mai;1;0;0;204;168;0;2;356;3;0;0;39;155;0;21;2;0;1;2;16;0;11;0;1;0;982
2021-06-01;2021;Jun;1;0;0;206;163;0;2;354;3;0;0;40;160;0;20;2;1;1;2;16;0;10;0;2;0;983
